Date,Close,High,Low,Open,Volume
2020-05-06,27.61468505859375,27.882544683461767,27.166171498244843,27.527472240287658,26602700
2020-05-07,28.686128616333008,29.26545779786383,28.31236892722557,28.42449730921903,42194300
2020-05-08,30.43034553527832,30.498868701842245,29.259230533971,29.58938501689946,33922800
2020-05-11,29.7326602935791,30.67952091981439,29.7326602935791,30.03166853718399,24783100
2020-05-12,29.56446647644043,30.27461132238609,29.56446647644043,30.168713613498767,21806900
2020-05-13,30.237239837646484,30.63591751947069,29.689056836984992,30.006752372092897,34159500
2020-05-14,29.956918716430664,30.18740380465002,29.24054312638668,29.869708270958824,35513400
2020-05-15,29.931997299194336,30.710665295408063,29.93199729919434,30.330674933046783,35196100
2020-05-18,31.931621551513672,32.14341937740889,31.115578874101985,31.358522949859864,41936200
2020-05-19,32.5794677734375,32.83487077555479,31.825717739909177,31.95653339009718,27704400
2020-05-20,32.70405578613281,33.432887888739685,32.70405578613281,33.24600804522301,27014500
2020-05-21,31.85064125061035,32.803730263230094,31.3772097058207,32.57324516648873,41802300
2020-05-22,31.314912796020508,31.83194711602097,31.0844277317459,31.626379998237176,23933600
2020-05-25,31.20901298522949,32.19325049349096,31.09688460134385,32.025057917662494,21162000
2020-05-26,30.64837074279785,31.4706439013346,30.42411399477765,31.383433471839187,28917800
2020-05-27,31.54540252685547,31.663761602042797,30.38674398299832,31.04705540484877,31932100
2020-05-28,31.202787399291992,32.17456601867952,31.17786945041648,31.769657666524783,23530900
2020-05-29,33.01552200317383,33.01552200317383,31.807030166452364,32.01882794982686,92646300
2020-06-01,33.277156829833984,33.545018830632955,32.70405828246356,32.903397114271215,27152300
2020-06-02,33.277156829833984,33.51387258372044,33.015525504201314,33.51387258372044,25602700
2020-06-03,33.42666244506836,33.850258060578795,33.252241559731004,33.57616775843348,31584300
2020-06-04,34.67253112792969,34.69744907605347,33.33945179528959,33.46403915960218,37638600
2020-06-05,34.01845169067383,35.32038482434303,33.85025909909286,35.12727428371901,39799100
2020-06-08,34.12434768676758,34.666302357712695,33.62600061259933,34.24893504938621,27456500
2020-06-09,34.255165100097656,34.255165100097656,33.713210439031045,33.73812838636184,19860000
2020-06-10,33.7630500793457,34.385984573886006,33.4889573809118,34.205333000155754,24321300
2020-06-12,33.26469802856445,33.66960396421759,32.380129941746304,33.45780617241377,31223700
2020-06-15,33.56370544433594,33.90631888200036,32.47357026684526,32.70405532472044,27425600
2020-06-16,34.50433349609375,34.57285665525907,33.775501442366505,34.56662835729222,29329400
2020-06-17,35.00891876220703,35.158421708857375,34.35483802392219,34.56663584526559,27840000
2020-06-18,34.9902229309082,35.22071036209903,34.64138119947313,35.07120506555109,25770000
2020-06-19,34.36729049682617,35.2580868993932,34.08074123655731,35.089896698679105,38079900
2020-06-22,34.26139068603516,34.479416767151136,33.906318281757095,34.26139068603516,14891400
2020-06-23,34.628929138183594,35.23317636688442,34.491882787020955,34.59155221251018,18272700
2020-06-24,34.50433349609375,35.046285718837545,34.149261104333405,35.04005742087068,18156600
2020-06-25,34.88433074951172,34.97777187168477,34.18041412437898,34.57286351067679,17051900
2020-06-26,34.647613525390625,35.47611748647265,34.392210495340215,34.822036787690514,21655500
2020-06-29,34.653846740722656,34.82826763950104,34.16172791767618,34.53548766543173,15453400
2020-06-30,34.83448791503906,35.22070892523746,34.267617748277,34.535479710447575,27462900
2020-07-01,33.9748420715332,34.934161598793466,33.6696031760209,34.934161598793466,28999400
2020-07-02,34.56663131713867,34.722364919010914,34.1056588100221,34.167951300248525,24148500
2020-07-03,34.42335891723633,34.697451614034065,34.21779177094452,34.385984368623184,7831800
