Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2020-05-06,6.878803253173828,7.18930429063302,6.878803253173829,7.113669850843073,67937500
2020-05-07,6.942496299743652,7.11367034998188,6.906669137634476,7.065900547411228,81265100
2020-05-08,7.3564982414245605,7.396306285182488,7.049977291546384,7.061919932456346,83232700
2020-05-11,7.225131988525391,7.5356338083932295,7.209209227116281,7.284843672541252,65061500
2020-05-12,7.2211503982543945,7.495825028847229,7.217169518474767,7.376401672559135,71837200
2020-05-13,7.002208709716797,7.304748799307427,6.9743433050252825,7.268921633482528,87222300
2020-05-14,6.926572799682617,6.954438201566831,6.655879022621242,6.926572799682617,119653200
2020-05-15,6.827053070068359,7.241055495791639,6.827053070068359,7.161439411067852,133733100
2020-05-18,7.3803815841674805,7.3803815841674805,7.133572385133716,7.2052266932169085,116999500
2020-05-19,7.436114311218262,7.535634040738259,7.328632821110597,7.368440864773652,80131600
2020-05-20,7.682922840118408,7.73865440513731,7.587383990582797,7.599326631502979,74595100
2020-05-21,7.639134883880615,7.870020633048136,7.59136507817082,7.762539139657574,81327000
2020-05-22,7.432133674621582,7.523691646556068,7.304748538143115,7.483883601587721,71259400
2020-05-25,7.754574775695801,7.7864210490534305,7.666997713781081,7.754574775695801,38033000
2020-05-26,7.830211162567139,7.997404313198561,7.694864290185741,7.953615395876589,68716900
2020-05-27,7.933712959289551,7.933712959289551,7.623211129829612,7.881962274741921,74790800
2020-05-28,7.870019912719727,7.993424157201722,7.742634788186669,7.838173631586462,65023000
2020-05-29,8.096924781799316,8.096924781799316,7.682922366713005,7.7824420904231495,128832600
2020-06-01,8.09294319152832,8.184501147080777,7.961577198130179,8.02128887526112,86579500
2020-06-02,8.51888656616211,8.51888656616211,8.200423814993,8.260135485927822,77235100
2020-06-03,8.546754837036133,8.721909788737333,8.52287031248267,8.702006144822006,86219700
2020-06-04,8.530830383300781,8.670158140925109,8.375579865554492,8.514906863903626,107401400
2020-06-05,8.797542572021484,9.167756017069072,8.78161905386776,8.873177764701401,114137700
2020-06-08,8.968716621398926,8.992601139422552,8.761715440460458,8.976677621223375,82444400
2020-06-09,8.646273612976074,8.773659501394405,8.614427330690306,8.769678621199276,96488300
2020-06-10,8.51888656616211,8.717925975461576,8.359655190577556,8.713945096162576,102551100
2020-06-12,8.200425148010254,8.427329990012067,8.001385706356,8.208386907902476,116746700
2020-06-15,8.240235328674316,8.39548589052435,7.778463764828986,7.885944514192249,99931000
2020-06-16,8.506946563720703,8.721908778350324,8.427330478731802,8.582581009257375,94510600
2020-06-17,8.534811019897461,8.698023292690577,8.419367785383944,8.550733779565602,63268700
2020-06-18,8.598504066467285,8.666177507277371,8.391502864074642,8.431310904423261,56893300
2020-06-19,8.546754837036133,8.845314051418129,8.4472350989088,8.7577369552052,91139800
2020-06-22,8.339751243591309,8.598502314214713,8.319846847835624,8.598502314214713,45419000
2020-06-23,8.618410110473633,8.785603319143867,8.415389731425817,8.447236020730841,78950900
2020-06-24,8.359657287597656,8.582581269336515,8.244214036792982,8.554715866528568,65162400
2020-06-25,8.546754837036133,8.546754837036133,8.252176503292272,8.323830836228005,47263500
2020-06-26,8.295963287353516,8.546752628549093,8.27207876897183,8.443252036528254,55499300
2020-06-29,8.622386932373047,8.622386932373047,8.331789584360191,8.399463012184082,59809600
2020-06-30,8.578598976135254,8.678118689358516,8.395483068256524,8.495002781479787,65010600
2020-07-01,8.642292022705078,8.857254979928472,8.566657583037765,8.65821554217727,78983900
2020-07-02,8.78161907196045,8.841330746609666,8.702003758853206,8.79754259014698,56345900
2020-07-03,8.749773979187012,8.829390062345816,8.678119656199135,8.737832098205859,24060000
2020-07-06,8.96075439453125,9.100082134400324,8.88113832624175,8.912984601702531,58070900
2020-07-07,8.849294662475586,8.944833517054333,8.813467497099142,8.893083588885759,46591300
2020-07-08,9.016486167907715,9.06027508615939,8.916966451354043,8.936870850229885,49136300
2020-07-09,8.813465118408203,9.080177966851569,8.781618842143702,9.06823608779933,57151500
2020-07-10,8.96075439453125,9.01648518676884,8.781618620517426,8.833369292688129,57428300
2020-07-13,8.821429252624512,9.01648784217707,8.821429252624512,9.000565079394882,55425500
2020-07-14,9.116005897521973,9.139890416932023,8.702004270888645,8.809484987871462,89380500
2020-07-15,9.291160583496094,9.32698774136955,9.09610203467126,9.235429786481903,58390600
2020-07-16,9.044351577758789,9.267276289780881,8.96473625998677,9.219506491697524,69698700
2020-07-17,9.052315711975098,9.167758978049775,8.988623137339198,9.088142880117212,49927600
2020-07-20,9.052315711975098,9.119989167435161,8.964738611669581,9.036392947953813,48679800
2020-07-21,9.30310344696045,9.394661404056711,9.211544730589006,9.215525610368216,101769600
2020-07-22,9.1757173538208,9.319025985366341,9.159794594357498,9.275237068110723,43085500
2020-07-23,8.984820365905762,9.247557634434962,8.972878245975618,9.219691675544052,64072100
2020-07-24,9.048513412475586,9.179882035260713,8.9251067084751,8.972877461892587,43380300
2020-07-27,9.235615730285645,9.255519770161209,8.937050576409478,9.104247092951748,56539600
2020-07-28,9.076379776000977,9.28338511794352,9.076379776000977,9.17192128712092,48353000
2020-07-29,9.223671913146973,9.255518829284725,9.124150205305202,9.167939999728501,44011500
2020-07-30,9.084341049194336,9.124149882781944,8.956953389146268,9.124149882781944,57859000
2020-07-31,8.837528228759766,9.211729314932887,8.821604390561559,9.124150482713935,75397300
2020-08-03,8.67829418182373,8.976859359078546,8.646447259954838,8.97287915822413,63598500
2020-08-04,8.670330047607422,8.777812897500505,8.459343788020538,8.542941644525186,63011900
2020-08-05,9.227654457092285,9.267463298922802,8.849471598638141,8.849471598638141,137214700
2020-08-06,9.24357795715332,9.366985448349586,9.159980068882177,9.267463718908395,56375100
2020-08-07,9.072400093078613,9.120170092072293,8.976858576510367,9.100266052373334,56040200
2020-08-10,9.335137367248535,9.335137367248535,9.012686457170878,9.116189134064768,52390100
2020-08-11,9.187843322753906,9.506312459354088,9.179881404516323,9.438637672915261,66342300
2020-08-12,9.347079277038574,9.426696952639483,9.187844685127182,9.29930927911037,67008500
2020-08-13,9.092303276062012,9.386887439734203,9.040551562856274,9.335136485818838,44588200
2020-08-14,9.024628639221191,9.14803534628214,8.968896724927289,9.064437474841286,38422000
